,Codigo,dia,mes,anio,Temperatura_[Celsius]_x,HumedadRel_[porc],Presion_[hPa],DireccionViento_[grad],VelocidadViento_[KpH]_x,RadiacionSolar_[WpM2],Lluvia_[mm],RafagaViento_[KpH],SenialGPRS_[ASU],NivelBateria_[V]
2018-10-22 14:00:00,30234,22,10.0,2018.0,14.57,97.83333333333333,938.9583333333334,150.0,4.734143333333333,127.957,0.2,9.984603333333334,0.6666666666666666,13.165833333333333
2018-10-22 14:30:00,30234,22,10.0,2018.0,14.75,97.75666666666666,939.5833333333334,165.0,2.46095,115.74000000000001,0.2,5.485166666666667,1.0,13.18
2018-10-22 15:00:00,30234,22,10.0,2018.0,14.85,97.31333333333333,939.375,157.5,4.003229999999999,97.093,0.4,9.039103333333333,0.6666666666666666,13.1233
2018-10-22 15:30:00,30234,22,10.0,2018.0,14.563333333333333,97.77333333333333,939.1666666666666,157.5,5.33094,112.52500000000002,0.0,13.6593,5.0,13.1304
2018-10-22 16:00:00,30234,22,10.0,2018.0,14.496666666666668,98.00666666666667,939.7916666666666,157.5,4.66038,112.52500000000002,0.4,8.911713333333333,5.0,13.151633333333335
2018-10-22 16:30:00,30234,22,10.0,2018.0,14.26,97.96666666666665,939.375,157.5,4.37204,99.022,0.0,8.69043,5.0,13.101999999999999
2018-10-22 17:00:00,30234,22,10.0,2018.0,14.313333333333333,97.86000000000001,940.0,165.0,3.2186833333333333,70.087,0.2,6.343483333333334,5.0,13.016933333333332
2018-10-22 17:30:00,30234,22,10.0,2018.0,13.886666666666665,97.25999999999999,940.2083333333334,157.5,5.035893333333333,52.726,0.4,11.479963333333332,5.0,12.903500000000001
2018-10-22 18:00:00,30234,22,10.0,2018.0,13.553333333333335,98.16000000000001,940.0,172.5,4.439093333333333,46.296,0.2,9.884016666666668,5.0,12.853866666666667
2018-10-22 18:30:00,30234,22,10.0,2018.0,13.333333333333334,98.75,940.0,165.0,3.8423,12.216999999999999,0.0,8.630083333333333,5.0,12.7759
2018-10-22 19:00:00,30234,22,10.0,2018.0,13.183333333333332,99.13,939.375,165.0,2.3067233333333337,0.0,0.0,6.18255,5.0,12.719166666666666
2018-10-22 19:30:00,30234,22,10.0,2018.0,13.086666666666666,99.60000000000001,940.8333333333334,120.0,2.5414166666666667,0.0,0.4,5.1633000000000004,5.0,12.669533333333334
2018-10-22 20:00:00,30234,22,10.0,2018.0,12.993333333333332,99.83,941.875,157.5,1.280767,0.0,0.2,3.1650356666666664,5.0,12.627
2018-10-22 20:30:00,30234,22,10.0,2018.0,13.006666666666666,99.99666666666667,941.4583333333334,150.0,1.2606486666666668,0.0,0.0,3.78195,5.0,12.619900000000001
2018-10-22 21:00:00,30234,22,10.0,2018.0,12.943333333333333,99.71,942.0833333333334,157.5,1.321,0.0,0.2,2.8834013333333335,5.0,12.605699999999999
2018-10-22 21:30:00,30234,22,10.0,2018.0,12.99,99.89999999999999,943.125,157.5,0.08046700000000001,0.0,0.0,0.50292,5.0,12.591500000000002
2018-10-22 22:00:00,30234,22,10.0,2018.0,13.006666666666668,99.92,943.75,157.5,0.15422866666666665,0.0,0.0,0.657148,5.0,12.584433333333331
2018-10-22 22:30:00,30234,22,10.0,2018.0,12.816666666666668,99.73333333333333,942.9166666666666,157.5,3.312556666666667,0.0,0.4,6.457476666666667,5.0,12.577366666666668
2018-10-22 23:00:00,30234,22,10.0,2018.0,12.54,99.63,942.7083333333334,180.0,0.9857220999999999,0.0,0.0,2.876693433333333,5.0,12.570299999999998
2018-10-22 23:30:00,30234,22,10.0,2018.0,12.536666666666667,98.96666666666665,942.7083333333334,157.5,0.046939100000000004,0.0,0.0,0.8046683333333333,5.0,12.5632
2018-10-23 00:00:00,30234,23,10.0,2018.0,12.526666666666666,98.77333333333333,943.3333333333334,157.5,0.1475231,0.0,0.0,1.7903900000000001,5.0,12.5561
2018-10-23 00:30:00,30234,23,10.0,2018.0,12.403333333333334,99.79,943.5416666666666,157.5,0.388924,0.0,0.2,2.1524933333333336,5.0,12.549000000000001
2018-10-23 01:00:00,30234,23,10.0,2018.0,12.166666666666666,99.94,942.9166666666666,165.0,2.346956666666667,0.0,0.2,5.431523333333334,1.0,12.570299999999998
2018-10-23 01:30:00,30234,23,10.0,2018.0,11.87,100.0,941.4583333333334,112.5,2.2798966666666667,0.0,0.0,5.552223333333333,0.3333333333333333,12.5632
2018-10-23 02:00:00,30234,23,10.0,2018.0,11.796666666666667,100.0,942.9166666666666,127.5,1.1466543333333334,0.0,0.2,2.8834,1.0,12.5561
